name,male_exhibition_count,female_exhibition_count,ins_name,type,Gender-Neutral Criteria,Gender-Balanced Criteria
4168,1234.0,513.0,ZKM Museum of Contemporary Art,museum,Man-Preferred,Man-Preferred
887,1220.0,662.0,MoMA PS1,museum,Neutral,Man-Preferred
275,628.0,379.0,Universalmuseum Joanneum,museum,Neutral,Man-Preferred
8948,588.0,246.0,MARTa Herford,museum,Man-Preferred,Man-Preferred
998,575.0,265.0,Centre Pompidou,museum,Man-Preferred,Man-Preferred
1715,556.0,228.0,Gagosian Gallery,gallery,Man-Preferred,Man-Preferred
1004,545.0,194.0,CAPC - Musée d'art contemporain,museum,Man-Preferred,Man-Preferred
8551,523.0,214.0,La Maison Rouge,museum,Man-Preferred,Man-Preferred
152,504.0,320.0,MoMA - Museum of Modern Art,museum,Neutral,Man-Preferred
5510,489.0,176.0,Marlborough Gallery,gallery,Man-Preferred,Man-Preferred
1916,456.0,198.0,Museo Nacional Centro de Arte Reina Sofía,museum,Man-Preferred,Man-Preferred
2337,421.0,157.0,Galerie Thaddaeus Ropac,gallery,Man-Preferred,Man-Preferred
32,416.0,199.0,Stedelijk Museum,museum,Man-Preferred,Man-Preferred
458,411.0,134.0,Pace Gallery,gallery,Man-Preferred,Man-Preferred
1586,408.0,214.0,Martin-Gropius-Bau,museum,Neutral,Man-Preferred
2842,395.0,136.0,David Zwirner,gallery,Man-Preferred,Man-Preferred
705,376.0,217.0,MCA Chicago,museum,Neutral,Man-Preferred
407,370.0,291.0,Moderna Museet - Stockholm,museum,Woman-Preferred,Man-Preferred
223,365.0,204.0,Guggenheim,museum,Neutral,Man-Preferred
1790,359.0,208.0,Museum der Moderne Rupertinum,museum,Neutral,Man-Preferred
709,355.0,183.0,Museum of Contemporary Art (MCA),museum,Neutral,Man-Preferred
170,297.0,223.0,Whitney Museum of American Art,museum,Woman-Preferred,Man-Preferred
2146,292.0,161.0,Hamburger Bahnhof,museum,Neutral,Man-Preferred
2230,290.0,133.0,Institut Valencia d'Art Modern,museum,Man-Preferred,Man-Preferred
252,287.0,182.0,Contemporary Arts Museum Houston,museum,Neutral,Man-Preferred
4689,287.0,167.0,Tate Modern,museum,Neutral,Man-Preferred
1611,280.0,230.0,Hammer Museum,museum,Woman-Preferred,Man-Preferred
201,273.0,135.0,National Gallery of Victoria,museum,Neutral,Man-Preferred
1144,271.0,220.0,MUMOK,museum,Woman-Preferred,Man-Preferred
1638,267.0,159.0,Lentos Kunstmuseum Linz,museum,Neutral,Man-Preferred
2772,267.0,166.0,Kunst- und Ausstellungshalle der Bundesrepublik Deutschland,museum,Neutral,Man-Preferred
2690,263.0,116.0,Serralves Museum,museum,Man-Preferred,Man-Preferred
1671,259.0,107.0,Weserburg | Museum für moderne Kunst,museum,Man-Preferred,Man-Preferred
3731,256.0,134.0,Sprüth Magers,gallery,Neutral,Man-Preferred
991,255.0,158.0,Wilhelm Hack Museum,museum,Neutral,Man-Preferred
1601,252.0,139.0,Marian Goodman Gallery,gallery,Neutral,Man-Preferred
739,252.0,131.0,Musée d´art contemporain de Montréal,museum,Neutral,Man-Preferred
208,250.0,127.0,Walker Art Center,museum,Neutral,Man-Preferred
64,248.0,122.0,Kunsthaus Zürich,museum,Neutral,Man-Preferred
103,236.0,118.0,Museum Folkwang,museum,Neutral,Man-Preferred
3347,231.0,131.0,Barcelona Museum of Contemporary Art,museum,Neutral,Man-Preferred
1874,222.0,108.0,Schirn Kunsthalle,museum,Neutral,Man-Preferred
3325,217.0,110.0,Hauser & Wirth,gallery,Neutral,Man-Preferred
18,209.0,136.0,LACMA - Los Angeles County Museum of Art,museum,Neutral,Man-Preferred
260,209.0,131.0,Van Abbemuseum,museum,Neutral,Man-Preferred
745,208.0,77.0,Paula Cooper Gallery,gallery,Man-Preferred,Man-Preferred
944,203.0,149.0,Museum Kunstpalast,museum,Woman-Preferred,Man-Preferred
227,200.0,110.0,Haus der Kunst,museum,Neutral,Man-Preferred
59,199.0,111.0,MOCA,museum,Neutral,Man-Preferred
1368,198.0,112.0,Sprengel Museum Hannover,museum,Neutral,Man-Preferred
5705,196.0,95.0,MART- Museo d'Arte Moderna e Contemporanea di Trento e Rovereto,museum,Neutral,Man-Preferred
1007,187.0,109.0,Fundación Joan Miró,museum,Neutral,Man-Preferred
31,177.0,112.0,Hamburger Kunsthalle,museum,Neutral,Man-Preferred
179,170.0,91.0,SFMOMA Artists Gallery,gallery,Neutral,Man-Preferred
10146,160.0,26.0,The Columns Gallery,gallery,Man-Preferred,Man-Preferred
7029,155.0,55.0,Pinakothek der Moderne,museum,Man-Preferred,Man-Preferred
2594,150.0,57.0,Matthew Marks Gallery,gallery,Man-Preferred,Man-Preferred
376,148.0,67.0,The Museum of Fine Arts,museum,Neutral,Man-Preferred
233,148.0,69.0,Museum Ludwig,museum,Neutral,Man-Preferred
883,147.0,74.0,John Berggruen Gallery,gallery,Neutral,Man-Preferred
23,145.0,78.0,The Art Institute of Chicago,museum,Neutral,Man-Preferred
8750,141.0,20.0,Paul Kasmin Gallery,gallery,Man-Preferred,Man-Preferred
36,138.0,55.0,MET - Metropolitan Museum of Art,museum,Man-Preferred,Man-Preferred
52,120.0,84.0,Albright-Knox Art Gallery,museum,Neutral,Man-Preferred
6143,114.0,81.0,Kunstmuseum Liechtenstein,museum,Neutral,Man-Preferred
27,113.0,63.0,Indianapolis Museum of Art,museum,Neutral,Man-Preferred
892,110.0,54.0,Kunstsammlung NRW,museum,Neutral,Man-Preferred
1785,108.0,108.0,Galerie Lelong,gallery,Woman-Preferred,Balance
2671,108.0,81.0,Fisher Landau Center for Art,museum,Woman-Preferred,Man-Preferred
1990,107.0,38.0,Pace Prints,gallery,Man-Preferred,Man-Preferred
22,101.0,66.0,Museum of Fine Arts Boston,museum,Neutral,Man-Preferred
1986,97.0,49.0,Kunsthalle in Emden,museum,Neutral,Man-Preferred
102,94.0,37.0,Gemeentemuseum Den Haag,museum,Man-Preferred,Man-Preferred
5601,81.0,29.0,IKON Ltd. Contemporary Art,gallery,Man-Preferred,Man-Preferred
42,74.0,25.0,Dallas Museum of Art,museum,Man-Preferred,Man-Preferred
6059,71.0,65.0,Alan Cristea Gallery,gallery,Woman-Preferred,Balance
770,69.0,43.0,Kunstmuseum Basel,museum,Neutral,Man-Preferred
576,68.0,27.0,Richard Gray Gallery,gallery,Neutral,Man-Preferred
4534,67.0,63.0,The Getty Center,museum,Woman-Preferred,Balance
1102,60.0,17.0,Fundación Juan March,museum,Man-Preferred,Man-Preferred
841,60.0,26.0,National Museum of Modern Art Tokyo,museum,Neutral,Man-Preferred
295,58.0,45.0,Philadelphia Museum of Art,museum,Neutral,Balance
2003,57.0,22.0,The Menil Collection,museum,Neutral,Man-Preferred
418,56.0,26.0,Neue Nationalgalerie,museum,Neutral,Man-Preferred
858,49.0,31.0,Margo Leavin Gallery,gallery,Neutral,Man-Preferred
5086,48.0,15.0,Galerie Ludorff,gallery,Man-Preferred,Man-Preferred
4748,47.0,27.0,Dickinson,gallery,Neutral,Man-Preferred
2854,45.0,22.0,Mnuchin Gallery,gallery,Neutral,Man-Preferred
365,41.0,18.0,Fondation Beyeler,museum,Neutral,Man-Preferred
884,41.0,25.0,Staatsgalerie Stuttgart,museum,Neutral,Man-Preferred
3074,35.0,11.0,Galerie Boisserée,gallery,Man-Preferred,Man-Preferred
651,31.0,6.0,Fondation Maeght,museum,Man-Preferred,Man-Preferred
1826,31.0,9.0,Connaught Brown,gallery,Man-Preferred,Man-Preferred
662,30.0,5.0,Galerie Gmurzynska,gallery,Man-Preferred,Man-Preferred
4382,29.0,23.0,Skarstedt Gallery,gallery,Neutral,Balance
1893,28.0,10.0,Galerie Thomas,gallery,Neutral,Man-Preferred
625,27.0,50.0,Albertina,museum,Woman-Preferred,Woman-Preferred
10516,27.0,9.0,Lévy Gorvy,gallery,Neutral,Man-Preferred
1380,26.0,15.0,Palm Springs Art Museum,museum,Neutral,Balance
14566,22.0,8.0,Sims Reed Gallery,gallery,Neutral,Man-Preferred
